OverallQual,GrLivArea,GarageArea,YearBuilt,TotalBsmtSF
7,2013,455,1996,1117
7,1266,388,2007,1266
9,2868,716,2005,1992
7,2256,554,2000,952
7,1414,494,2004,1414
6,1721,471,1994,928
6,1552,434,1975,713
4,1128,528,1920,698
6,1118,358,1977,1096
6,1728,574,1976,1728
8,2448,711,1994,1629
5,1473,452,1968,1437
7,1717,400,1990,1156
7,1166,400,2005,856
8,1370,484,2006,1370
6,1724,480,1967,1680
7,1709,380,2004,970
6,987,264,1971,483
7,1802,216,1920,793
6,2345,360,1932,952
6,1068,264,1963,1059
6,1617,533,1993,1604
6,1244,336,1957,1244
4,1180,252,1922,700
7,1223,480,2005,600
6,1686,612,1980,1686
8,1646,800,2007,1638
5,1144,264,1961,864
7,1797,639,2006,939
4,1224,462,1962,0
7,1865,839,2000,992
5,1056,308,1958,1056
9,3140,820,2008,1926
6,1212,492,1977,506
8,1694,636,2004,1686
6,1511,413,1997,802
5,1057,246,1953,1057
4,2290,560,1885,777
7,2183,786,1988,1204
7,3222,594,1990,1673
7,1716,512,1996,880
6,1342,457,1967,1372
7,1504,437,2005,1346
8,1992,648,2003,1053
7,1252,462,1999,600
5,999,264,1962,999
4,1363,528,1910,622
6,1165,490,1966,1127
9,1668,702,2002,1626
8,2376,853,2005,1158
5,1440,352,1900,540
6,1470,388,1997,794
7,1541,532,2005,1541
4,1440,0,1955,1440
7,1146,438,2003,868
8,1494,481,1995,1494
9,2224,738,2004,1462
5,1343,186,1921,731
8,2452,683,1998,1028
6,1977,540,1964,816
7,1767,504,1987,1064
8,1324,550,2006,1324
6,1458,330,1948,912
6,1314,440,2006,1314
6,1575,529,1992,1575
9,1620,912,2007,1620
4,1788,304,1957,1104
6,913,240,1966,814
6,2073,500,1978,1542
8,1441,492,1999,776
7,1690,225,1916,815
5,1437,576,1956,1188
7,2156,508,1968,1568
5,864,0,1925,864
5,1112,336,1976,536
7,2243,746,1990,700
4,1328,210,1925,686
4,968,216,1927,656
6,1396,384,1915,698
9,1856,834,2010,1856
8,2161,789,2007,1582
6,1602,529,1977,1602
5,1302,280,1971,630
6,1509,393,2002,783
5,912,352,1962,912
6,1664,420,1947,1004
6,1694,576,1925,1181
4,747,220,1945,747
4,1040,420,1950,0
7,1660,493,2002,831
5,1691,308,1924,1026
5,864,720,1950,864
6,752,264,1984,744
7,1792,564,2001,963
7,1626,474,2003,764
8,1484,472,2006,1476
7,3493,870,1880,1470
9,1652,840,2006,1652
5,1276,350,1958,1276
6,1668,271,1950,856
4,1192,0,1949,720
5,884,504,1983,840
7,2062,454,1988,1157
5,827,392,1955,0
7,2019,532,1910,728
5,1304,336,1976,264
6,1368,216,1910,684
3,1605,379,1915,840
10,2020,900,2009,2006
7,1250,528,2006,625
8,1624,757,1994,1624
4,845,360,1982,845
5,1389,418,1974,1389
5,968,480,1923,968
4,1092,286,1970,546
6,848,420,2003,848
5,1269,308,1960,1269
5,1092,288,1962,1092
7,2263,539,1977,795
4,952,283,1956,952
4,1452,0,1920,736
5,1039,504,1965,1039
6,1204,412,1998,1204
6,1117,672,1976,1029
7,2196,701,1990,2158
5,985,328,1977,985
8,1629,880,2003,3206
7,1477,216,1928,861
5,980,484,1977,980
7,2295,590,1992,1095
6,1502,180,1923,602
6,2201,432,1966,697
8,2078,836,2007,1034
2,800,0,1936,264
8,1578,840,2008,1573
8,1932,774,2008,1932
5,1507,404,1960,1075
5,900,280,1967,882
10,1718,786,2006,1700
5,1750,240,1880,636
7,2398,834,1996,1379
8,1968,680,2009,774
7,1536,532,2002,1536
3,864,200,1914,864
8,3228,546,1992,3200
7,2149,670,2003,1434
7,2640,864,1880,1240
7,1682,530,1970,1304
8,2098,878,2005,1030
5,864,360,1965,864
5,1968,530,1969,784
6,1097,480,1984,1040
6,1196,528,1920,684
5,1920,451,1958,1052
5,1728,576,1965,1728
8,2031,577,2002,1128
6,1196,297,1956,1196
5,803,360,1941,720
5,1620,462,1969,780
8,2097,1134,2005,2077
9,1869,617,2007,1869
7,1886,431,1998,930
2,480,308,1949,480
4,1296,516,1967,0
4,816,288,1938,816
7,1601,478,1978,1271
6,1792,451,2000,936
8,2520,796,1993,1338
5,1144,796,1959,1144
5,2601,621,1921,612
6,1577,312,1939,972
5,970,624,1963,970
7,2036,513,1965,2136
6,1026,440,1969,1026
5,698,0,1947,698
7,1533,576,1975,1533
5,1382,660,1941,720
7,1391,530,2004,1391
5,1078,240,1950,1078
8,1296,471,2001,1267
6,1442,301,1958,1442
5,1964,0,1911,940
7,1502,644,2009,1502
6,1392,458,1957,1392
4,1768,0,1968,1768
5,1582,390,1964,1624
6,958,301,1960,958
5,894,600,1972,894
6,1224,402,1999,1224
10,2332,846,2007,1682
8,1269,430,2004,1256
8,1776,712,2006,1732
6,1456,390,2005,728
6,1194,539,1959,655
5,1008,240,1953,1008
7,1555,430,2005,1373
5,1784,180,1914,747
7,1108,280,1930,637
5,1394,400,2006,384
7,1714,496,1988,980
5,882,294,1959,0
3,1306,0,1940,728
6,1217,288,1980,626
5,990,299,1994,990
8,2452,691,2004,1117
6,848,420,2003,848
6,1369,300,1925,672
6,1218,676,2009,1218
6,2555,672,1922,588
8,1247,550,2005,1247
6,2872,619,1977,1330
8,1652,482,2008,1600
6,1844,546,1977,1844
7,1971,689,2005,1113
6,1800,463,2000,982
7,1949,574,1993,1050
4,630,0,1972,630
7,1494,530,2002,1494
3,968,0,1910,600
7,1274,508,2005,1274
6,1520,364,1955,1156
6,1285,528,1977,660
7,1509,393,2003,783
7,1935,550,1976,793
6,816,0,1990,816
7,1200,555,2003,1176
4,1470,548,1954,941
6,1656,528,1960,1080
5,792,240,1924,768
8,1694,818,2007,1694
8,1800,765,2002,1800
5,2337,560,1900,662
6,1846,315,1949,1040
6,1026,576,1978,940
5,904,408,1966,876
5,1126,484,1977,1126
8,2468,872,2004,1136
6,988,540,1969,938
5,1052,288,1968,1052
6,1096,0,1924,572
6,1141,484,2005,1141
6,1790,484,1972,732
8,1852,660,1999,1004
6,754,0,1935,520
5,1344,513,1916,624
7,2207,576,1970,1947
6,2358,360,1908,907
8,2715,831,1976,1142
7,1364,484,2005,1364
7,1253,402,1995,1237
6,1328,528,1963,1328
5,1422,286,1960,978
7,1986,486,1965,768
6,952,192,1916,952
8,1660,500,2006,1660
9,2234,1166,2008,2216
6,790,160,1930,768
7,1340,396,2007,1340
6,1610,480,1977,1610
5,2620,600,1977,1361
7,1248,438,2005,1248
6,912,288,1961,912
6,1638,472,1998,943
4,1622,1356,1961,1249
6,2320,180,1945,1028
5,1144,456,1961,1144
5,1520,281,1932,793
6,1516,472,1964,1516
7,1498,675,2006,1498
6,1961,560,2001,804
7,1456,440,2006,728
7,2403,349,1940,1032
9,1944,708,2003,1896
7,1368,474,2005,1368
7,1790,588,1999,873
9,2713,858,2008,1452
5,1271,312,1948,720
7,1872,604,1988,1845
7,2090,577,1984,1190
6,1796,546,1998,794
7,1302,436,2007,1302
8,2524,542,1981,2524
4,1374,338,1920,840
7,1626,474,2003,764
5,1034,240,1940,735
8,1518,588,2003,1518
7,1818,240,1931,1040
7,1661,598,1998,1649
6,1991,432,1932,854
7,1482,324,1920,650
8,1742,564,1985,1742
5,1250,280,1918,686
6,1176,528,1934,816
8,1915,506,1992,908
6,1595,240,1940,940
6,1661,377,1955,992
8,1935,552,2009,832
8,1795,534,2002,1777
7,1928,434,2003,847
5,1159,336,1968,1051
6,1456,440,1978,855
7,1954,431,1939,798
8,2028,880,2005,1868
8,2898,665,1976,1565
7,1674,663,2000,814
5,974,0,1991,974
8,1989,586,2002,1065
7,2097,678,1993,1080
7,1442,500,1990,1424
5,1130,720,1920,1120
7,1820,240,1925,1026
6,2119,583,1972,689
8,2576,666,2006,1234
5,1020,0,1875,780
4,1774,779,1900,1095
1,904,0,1922,683
7,1382,490,2000,673
10,3608,840,1892,1107
6,2210,205,1880,1008
6,1572,373,1995,806
7,1824,739,1971,1643
5,1056,304,1968,1056
5,1221,392,1924,784
6,1362,504,1961,1362
6,848,420,2004,848
7,1434,527,2001,1454
7,1208,628,2007,1208
5,1466,566,1936,796
8,1987,691,1994,1986
7,2418,983,1993,1311
7,1314,626,2007,1314
7,1709,380,2004,970
6,1218,0,1971,672
6,3395,0,1914,1440
5,1200,0,1987,1200
5,912,297,1958,912
10,4316,832,1994,2444
7,1710,548,2003,856
8,2374,656,2003,1181
7,1564,234,1941,704
5,1466,528,1959,1466
6,1383,292,1960,1383
5,1535,410,1979,0
5,990,576,1995,990
7,1646,240,1941,918
6,1928,440,1910,1020
7,1725,550,1979,539
8,2872,541,1992,1683
6,2112,576,1969,952
4,1324,240,1936,672
7,1200,480,2005,600
5,1344,468,1920,672
7,1668,500,2003,840
3,1040,400,1950,0
5,900,576,1951,900
5,1559,812,1948,1559
4,948,248,1954,864
6,923,264,1980,923
7,1552,782,2005,1552
7,1717,642,1915,756
5,1721,440,1968,1461
6,987,264,1973,483
6,1200,521,1995,1200
5,1716,281,1949,768
5,894,336,1965,894
5,1771,336,1960,0
7,1173,528,1974,1053
5,1287,576,1959,1063
4,1382,459,1963,1051
7,2520,721,1995,1203
6,1215,297,1958,1215
8,2526,844,1994,1165
7,1200,480,2004,600
5,1728,560,1976,1728
7,1710,480,1921,576
8,2392,870,1997,1396
7,1744,457,1993,996
7,1665,562,2007,813
7,2696,792,2007,1264
4,864,528,1971,864
4,672,234,1941,672
5,1320,564,1966,1164
6,958,440,1976,1078
7,1710,550,2004,1710
5,1265,502,1965,1219
8,1456,400,2003,1273
5,1539,576,1936,927
7,1959,766,1988,1907
5,1522,0,1926,1008
5,1124,0,1954,0
7,2090,484,1973,1107
5,1214,461,1965,1214
5,1779,454,1955,1763
8,1629,808,2002,1616
8,1554,627,2006,1554
7,2236,642,1997,964
4,796,0,1922,796
6,1680,308,1915,840
6,848,420,2003,848
5,1142,528,1976,1142
6,1252,564,1960,1602
9,1684,564,2005,1684
8,2000,888,2004,2000
7,1616,834,2005,1616
8,1872,531,2001,1299
5,1576,225,1928,1042
7,1982,575,1989,807
5,988,276,1950,876
8,1844,620,2005,1844
6,1258,528,1971,1258
8,1288,500,1996,1260
8,1634,866,2006,1626
6,1322,440,1974,855
8,1414,403,2004,707
7,1504,478,1996,1504
7,1670,690,2006,1670
7,2167,518,1974,1192
6,1069,440,1977,1069
6,1072,525,2005,547
5,1572,995,1963,1572
5,1869,456,1890,1088
4,882,0,1956,882
9,1922,676,2005,1922
5,780,352,1972,780
5,1601,300,1958,533
7,1530,430,2005,1530
5,833,0,1985,833
3,1183,308,1948,649
5,1040,260,1962,1040
8,2828,1052,2006,1466
6,1252,288,1950,1032
5,1246,305,1959,1246
6,904,180,1926,884
5,1652,416,1915,686
5,1268,288,1949,832
6,1913,342,1928,896
7,1358,484,2009,1358
6,1657,484,1970,1657
6,838,275,1918,816
7,2060,390,1999,992
7,1626,474,2003,764
6,1352,299,1969,663
5,1376,240,1941,768
6,1660,240,1934,715
6,1412,432,2006,616
6,1469,216,1906,756
7,1430,400,2000,384
6,1094,495,1953,1094
8,1826,758,2005,1814
5,924,576,1949,672
8,1502,528,1985,1488
6,1688,603,1997,616
6,1262,572,2006,1262
9,1905,788,2006,1905
7,2031,541,1998,1153
6,1350,478,1974,1064
7,1829,613,2003,941
5,965,300,1965,828
4,924,280,1941,672
8,2263,905,2001,1055
6,2108,540,1935,1127
7,1242,528,1973,1242
4,1573,240,1935,884
7,2035,434,2001,884
6,1232,516,1984,1232
7,1964,483,1976,803
4,1140,0,1910,576
5,894,450,1967,894
6,2654,619,1968,1054
5,768,396,1972,768
4,912,0,1947,0
5,2080,504,1969,1040
5,1040,576,1996,1040
6,1616,216,1926,1149
4,1047,273,1885,641
5,1803,484,1957,1134
6,832,528,1954,832
5,894,384,1966,894
5,1192,189,1920,596
9,1850,772,2004,1833
5,899,288,1967,864
5,892,264,1966,864
6,2291,506,1910,1214
5,2138,360,1898,849
6,1604,470,1997,926
7,2021,422,2006,868
5,938,308,1975,938
7,1426,216,1918,912
5,1920,400,1948,928
5,1098,260,1955,1098
3,729,0,1935,270
6,1252,528,1959,1252
5,1584,792,1967,1584
9,1506,592,2008,1498
9,1709,506,1999,1698
5,1092,299,1957,1092
9,1746,758,2006,1746
7,2287,667,1953,1304
5,789,200,1926,768
5,1041,270,1959,1041
8,1908,431,2002,967
6,2267,390,2002,1010
5,875,180,1931,715
5,1526,364,1957,1216
6,1567,714,1977,1567
9,2822,1020,2008,1734
7,1378,360,1928,689
4,1738,368,1920,715
6,2060,521,1988,1151
5,1128,286,1954,936
7,1720,440,2004,840
5,1050,338,1956,1050
6,1114,576,2003,1114
5,1053,750,1958,1008
8,1593,682,2001,1593
5,1214,318,1967,1214
5,816,264,1982,816
5,1535,400,1979,0
8,3112,795,1918,1360
8,1919,685,2006,1079
5,1097,672,1994,1097
6,1750,423,1940,983
6,987,288,1972,483
6,981,576,1971,981
5,1700,447,1959,1398
5,816,308,1957,816
7,1840,622,2001,944
6,2521,576,1973,942
5,1002,902,1970,1002
4,841,294,1950,721
6,996,564,1992,936
8,1713,856,2004,1713
6,1412,576,1988,1392
6,1236,923,1957,912
4,1040,648,1963,1064
8,1616,608,1995,1595
6,1414,601,1958,1184
7,1950,576,1997,975
5,1086,490,1954,1086
5,1576,528,1923,1324
5,768,624,1970,768
6,1381,676,1972,1161
8,2169,647,2002,1284
3,720,287,1949,0
6,2792,520,1920,1510
4,936,576,1953,936
4,1181,588,1972,1138
7,1689,954,2007,1689
4,948,280,1954,948
6,1512,440,2000,756
5,894,450,1968,894
7,1852,644,2009,900
4,845,290,1957,0
3,774,0,1931,544
8,3238,666,1995,2033
7,1232,632,2007,1232
7,1164,528,1969,1164
5,1248,160,1930,912
5,1687,572,1948,747
6,1960,440,2002,860
4,1092,286,1970,546
4,894,400,1954,894
7,1479,558,2003,1453
5,1060,270,1968,1060
7,1436,484,2004,1436
5,1044,504,1952,540
7,1768,320,1914,880
6,816,432,1930,816
7,1430,400,2000,384
5,1867,303,1955,1617
7,1500,648,2006,1356
4,1100,312,1960,1100
5,816,264,1982,816
5,1328,308,1959,1350
10,2296,842,2008,1722
5,864,572,1955,864
7,1266,453,2005,1257
4,858,0,1971,858
6,1710,506,1993,832
4,1123,264,1939,732
6,1647,460,1999,953
5,874,288,1968,864
8,1788,522,2001,1753
6,1839,416,1957,1477
5,1868,484,1976,780
5,1712,588,1959,1626
6,1229,462,1980,561
8,1600,890,2007,1566
6,1600,460,1997,916
5,1344,240,1936,896
5,1126,540,1977,1126
5,923,264,1984,876
5,616,205,1921,616
5,1800,0,1961,1800
6,1505,505,1953,1505
5,1647,621,1977,1430
4,1132,451,2005,1132
6,1764,470,1997,928
4,1529,240,1945,0
6,2447,336,1919,804
7,1504,457,2005,1346
3,1163,220,1955,1162
6,1525,440,2000,756
5,935,288,1965,935
6,813,270,1930,813
5,2008,230,1948,896
7,2329,514,1990,1475
5,1558,282,1950,910
7,1664,528,1976,832
7,2110,522,1968,2110
6,1786,684,1997,824
5,1475,336,1977,757
5,1387,256,1954,811
7,1708,380,2004,976
6,1734,440,1962,912
5,2414,520,1900,954
7,1908,493,1994,915
5,1283,506,1962,931
7,1212,573,2001,1212
7,1548,672,1925,952
5,980,384,1967,980
6,1811,470,1956,1073
4,1056,384,1966,1056
8,1234,484,2007,1234
5,1302,440,1970,630
6,1406,0,1920,319
5,858,576,1982,858
9,2324,736,2005,1175
5,910,414,1953,105
6,1611,442,1964,780
6,1560,400,2005,684
5,2020,630,1977,0
8,1338,582,2001,1338
5,1188,312,1962,1188
7,1459,527,2002,1459
7,2260,533,1996,1306
7,1430,605,2001,1413
5,996,0,1940,996
6,1092,504,1964,1092
7,1250,625,2006,625
7,1728,572,2004,864
5,924,280,1975,924
6,1199,530,1993,1199
5,948,300,1968,948
5,925,429,1965,925
5,835,366,1920,458
8,2466,610,2004,1580
7,2157,487,1966,924
5,1060,572,1976,1040
10,2633,804,2001,2633
5,1048,280,1922,993
6,1664,460,2000,953
6,784,360,1928,784
6,1279,473,1977,1196
4,1229,284,1956,1134
5,1268,244,1954,1268
7,1428,480,2007,1428
6,1125,352,1976,1041
5,1008,275,1954,1008
8,1630,860,2008,1622
6,1728,673,2003,864
5,1211,322,1968,952
5,1040,286,1959,1040
8,1707,511,1981,1686
7,1632,462,1998,935
5,1392,528,1957,1392
5,1319,270,1953,608
6,1484,390,2005,742
5,971,300,1969,971
6,1062,539,1976,1029
6,980,0,1975,945
7,1405,478,2003,1405
6,1671,472,2000,959
5,1074,495,1975,1056
5,2320,672,1948,0
6,918,264,1979,918
5,1437,528,1976,1437
6,1069,440,1977,1069
6,1556,441,1968,727
7,1894,510,2002,817
8,1973,895,2006,1935
7,2978,564,1967,710
6,848,420,2004,848
7,1474,400,1995,384
5,1056,260,1954,1056
5,902,484,1983,864
6,1032,564,1978,1032
5,1077,338,1920,961
5,1235,480,1961,1235
7,1442,719,1990,910
6,987,264,1971,483
6,1004,504,1977,975
5,1006,0,1959,1006
5,1716,0,1912,780
7,1720,565,2004,860
4,960,308,1920,960
7,1604,660,2006,1604
8,2217,621,1970,2217
6,1844,540,1969,1844
6,1571,380,1993,799
7,1479,577,1999,1468
5,1786,529,1965,1499
6,1632,338,1958,1240
8,1768,578,2007,866
5,1096,299,1969,1096
7,2093,542,1986,791
6,1348,453,1966,660
7,1456,410,2005,728
5,1600,319,1957,1484
6,1700,544,2003,1682
6,1593,389,1992,808
5,1363,288,1951,1008
6,1441,440,1978,855
8,1710,866,2007,1710
7,2110,463,1994,948
6,1479,475,1976,725
