1stFlrSF,2ndFlrSF,BedroomAbvGr,BsmtFinSF1,BsmtUnfSF,GarageArea,GarageYrBlt,GrLivArea,KitchenQual,LotArea,LotFrontage,MasVnrArea,OpenPorchSF,OverallCond,OverallQual,TotalBsmtSF,YearBuilt,YearRemodAdd,SalePrice
1225,0.0,3.0,569,381,0,1979.0,1225,TA,9320,77.0,0.0,0,5,4,950,1959,1959,128950
1610,0.0,3.0,1200,410,480,1977.0,1610,Gd,10603,69.61401673640168,28.0,68,7,6,1610,1977,2001,205000
977,755.0,3.0,0,741,476,1985.0,1732,Gd,9206,77.0,336.0,46,5,6,741,1985,1985,178000
1535,0.0,4.0,0,0,410,1979.0,1535,TA,7018,64.0,0.0,0,5,5,0,1979,1979,118964
1226,0.0,2.883272058823529,0,1226,740,2009.0,1226,Gd,10402,94.0,0.0,36,5,7,1226,2009,2009,198900
1226,592.0,4.0,224,816,240,1951.0,1818,TA,7758,69.61401673640168,600.0,0,4,7,1040,1931,1950,169500
1053,0.0,3.0,0,1053,648,2003.0,1992,Gd,9375,75.0,768.0,45,5,8,1053,2003,2004,250000
1047,0.0,2.0,0,641,273,1954.0,1047,TA,10800,60.0,0.0,0,7,4,641,1885,1995,100000
789,0.0,2.0,104,516,250,1948.0,789,TA,6000,50.0,0.0,0,5,5,789,1948,1950,115000
997,0.0,3.0,0,793,0,1979.0,1517,Fa,8500,85.0,0.0,0,7,5,793,1919,2005,115000
1844,0.0,3.0,705,1139,546,1977.0,1844,TA,11751,105.0,480.0,122,6,6,1844,1977,1977,190000
1216,639.0,4.0,444,550,325,1954.0,1855,TA,9525,75.0,0.0,0,4,6,994,1954,1972,136900
774,656.0,3.0,250,134,400,2000.0,1430,TA,7750,69.61401673640168,0.0,0,5,7,384,2000,2000,180000
1282,1414.0,4.0,984,280,792,2007.0,2696,Ex,9965,77.0,220.0,184,5,7,1264,2007,2007,383970
2259,0.0,3.0,35,905,450,1953.0,2259,Gd,21000,69.61401673640168,184.0,120,5,6,1809,1953,1953,217000
1436,884.0,3.0,774,104,180,1945.0,2320,Gd,7259,61.0,0.0,0,8,6,1028,1945,2002,259500
729,729.0,2.0,419,310,440,1999.0,1458,TA,3230,34.0,1129.0,32,5,6,729,1999,1999,176000
1092,0.0,3.0,170,252,288,1962.0,1092,TA,11616,69.61401673640168,116.0,20,5,5,1092,1962,1962,139000
1125,0.0,2.0,0,1125,430,2007.0,1125,TA,8536,74.0,0.0,64,5,5,1125,2006,2007,155000
1699,1523.0,5.0,1470,203,594,1990.0,3222,Gd,12376,90.0,0.0,0,5,7,1673,1990,1990,320000
728,728.0,3.0,0,728,390,2005.0,1456,Gd,8461,65.0,0.0,24,5,6,728,2005,2006,163990
988,0.0,1.0,938,0,540,1969.0,988,TA,21453,69.61401673640168,0.0,130,5,6,938,1969,1969,180000
772,351.0,3.0,0,732,264,1979.0,1123,TA,6060,50.0,0.0,0,5,4,732,1939,1950,100000
1080,0.0,3.0,570,510,288,1958.0,1080,TA,9464,75.0,135.0,0,7,6,1080,1958,1958,136000
1199,0.0,2.0,300,899,530,1993.0,1199,Gd,7892,55.0,0.0,63,5,6,1199,1993,1993,153900
1586,0.0,3.0,0,1362,435,1979.0,1586,TA,17043,48.0,0.0,0,5,6,1362,1979,1998,181000
520,0.0,2.0,490,30,0,1979.0,754,TA,6780,60.0,0.0,0,8,6,520,1935,1982,84500
958,0.0,2.0,120,958,440,1977.0,958,TA,4928,69.61401673640168,0.0,205,5,6,1078,1976,1976,128000
840,0.0,3.0,116,556,0,1979.0,840,TA,4388,55.0,0.0,0,7,5,672,1930,1950,87000
660,688.0,3.0,512,148,453,1966.0,1348,TA,7590,69.0,266.0,108,5,6,660,1966,1966,155000
1053,0.0,3.0,567,413,750,1998.0,1053,Ex,8973,69.0,85.0,80,7,5,1008,1958,1991,150000
1216,941.0,4.0,445,479,487,1966.0,2157,Gd,14200,88.0,309.0,66,6,7,924,1966,1966,226000
1022,1032.0,3.0,695,297,390,2000.0,2054,Gd,12224,69.61401673640168,40.0,48,5,6,992,2000,2000,244000
1327,0.0,2.883272058823529,405,658,624,1974.0,1327,Gd,7388,75.0,0.0,0,6,5,1063,1959,2002,150750
1296,0.0,2.0,1005,262,471,2001.0,1296,Gd,6853,69.61401673640168,136.0,25,5,8,1267,2001,2002,220000
1721,0.0,3.0,570,891,440,1968.0,1721,TA,10335,78.0,0.0,96,6,5,1461,1968,1993,180000
1682,0.0,3.0,0,1304,530,1970.0,1682,TA,10400,80.0,288.0,0,6,7,1304,1970,1970,174000
1214,0.0,2.883272058823529,695,519,318,1967.0,1214,TA,10355,69.61401673640168,196.0,111,5,5,1214,1967,1967,143000
1959,0.0,5.0,0,1907,766,1989.0,1959,TA,11070,82.0,70.0,0,5,7,1907,1988,1989,171000
1004,848.0,3.0,668,336,660,1999.0,1852,Gd,9066,73.0,320.0,106,5,8,1004,1999,2000,230000
928,836.0,3.0,821,107,470,1997.0,1764,Gd,15426,65.0,0.0,99,5,6,928,1997,1997,231500
864,0.0,3.0,432,432,0,1979.0,864,TA,10500,70.0,0.0,0,5,4,864,1971,1971,115000
1734,0.0,3.0,1300,434,660,2005.0,1734,Gd,11645,78.0,0.0,24,5,7,1734,2005,2005,260000
910,0.0,4.0,507,403,720,2000.0,1385,TA,8520,71.0,0.0,0,4,5,910,1952,1952,166000
1501,0.0,3.0,679,811,577,1999.0,1501,Gd,10335,78.0,183.0,29,5,7,1490,1999,1999,204000
1728,0.0,6.0,1332,396,504,1963.0,1728,TA,9100,70.0,336.0,0,5,5,1728,1963,1963,125000
970,739.0,3.0,0,970,380,2004.0,1709,Gd,2522,24.0,50.0,40,5,6,970,2004,2006,130000
875,0.0,2.0,209,506,180,1931.0,875,TA,6120,51.0,0.0,0,7,5,715,1931,1993,105000
884,1151.0,3.0,0,884,434,2001.0,2035,Gd,9505,69.61401673640168,180.0,48,5,7,884,2001,2001,222500
1080,0.0,3.0,680,400,0,1979.0,1080,Gd,7500,63.0,120.0,0,5,7,1080,2004,2005,141000
896,448.0,3.0,0,896,240,1936.0,1344,TA,6240,69.61401673640168,0.0,114,4,5,896,1936,1950,115000
969,0.0,3.0,716,253,440,1975.0,969,TA,10356,120.0,0.0,0,6,5,969,1975,1975,122000
1710,0.0,2.0,1400,310,866,2007.0,1710,Gd,13891,107.0,436.0,102,5,8,1710,2007,2008,372402
1097,896.0,4.0,416,409,495,1971.0,1993,TA,14803,69.61401673640168,252.0,66,5,6,825,1971,1971,190000
1252,0.0,1.0,429,93,564,1960.0,1252,TA,13500,69.61401673640168,0.0,0,7,6,1602,1960,1975,235000
1200,0.0,4.0,0,1200,312,1923.0,1200,TA,11340,84.0,0.0,0,5,6,1200,1923,1950,125000
572,524.0,2.0,0,572,0,1979.0,1096,TA,9600,60.0,0.0,8,5,6,572,1924,1950,79000
1040,0.0,2.0,0,0,625,1950.0,1040,TA,7200,60.0,0.0,0,7,5,0,1950,1950,109500
774,1194.0,4.0,0,774,680,2009.0,1968,Ex,12003,92.0,84.0,75,5,8,774,2009,2010,269500
991,956.0,3.0,222,769,678,2004.0,1947,Gd,12552,100.0,0.0,136,5,7,991,2004,2005,254900
1392,1070.0,4.0,57,1335,576,2006.0,2462,Gd,19378,134.0,456.0,132,5,7,1392,2005,2006,320000
1232,0.0,3.0,660,572,516,1984.0,1232,TA,11120,69.61401673640168,0.0,0,6,6,1232,1984,1984,162500
1572,1096.0,3.0,1016,556,726,2003.0,2668,Ex,13688,110.0,664.0,0,5,9,1572,2003,2004,412500
1541,0.0,3.0,1201,340,532,2005.0,1541,Gd,12182,95.0,226.0,70,5,7,1541,2005,2005,220000
882,0.0,1.0,0,882,0,1979.0,882,TA,5500,55.0,0.0,0,6,4,882,1956,1956,103200
1149,467.0,3.0,370,779,216,1926.0,1616,Gd,5400,40.0,0.0,0,7,6,1149,1926,2004,152000
808,547.0,4.0,351,112,0,1979.0,1355,TA,10106,62.0,0.0,0,7,5,644,1940,1999,127500
1867,0.0,2.0,379,470,303,1955.0,1867,TA,10708,69.61401673640168,0.0,0,5,5,1617,1955,1993,190000
1610,551.0,3.0,1288,294,789,2007.0,2161,Ex,10562,86.0,300.0,120,5,8,1582,2007,2007,325624
840,880.0,3.0,0,840,440,2004.0,1720,Gd,8244,62.0,0.0,48,5,7,840,2004,2004,183500
1707,0.0,2.0,0,1686,511,1981.0,1707,TA,16669,69.61401673640168,653.0,64,6,8,1686,1981,1981,228000
854,0.0,2.0,360,360,660,1991.0,1382,TA,12358,69.61401673640168,0.0,0,6,5,720,1941,1950,128500
1656,0.0,3.0,639,441,528,1960.0,1656,TA,31770,141.0,112.0,62,5,6,1080,1960,1960,215000
1064,703.0,2.0,495,354,504,1987.0,1767,Gd,5306,44.0,0.0,35,7,7,1064,1987,1987,239000
1362,0.0,2.883272058823529,288,700,504,1961.0,1362,TA,10197,80.0,491.0,20,5,6,1362,1961,1961,163000
1651,0.0,3.0,1398,0,616,1986.0,1651,TA,12416,47.0,132.0,0,5,6,1606,1986,1986,184000
2158,0.0,4.0,477,725,576,1950.0,2158,Gd,12615,84.0,0.0,29,7,6,1202,1950,2001,243000
1164,896.0,4.0,831,320,521,1988.0,2060,TA,10029,97.0,268.0,228,5,6,1151,1988,1989,211000
1252,668.0,4.0,57,554,451,1958.0,1920,Gd,13650,69.61401673640168,0.0,0,5,5,1052,1958,1958,172500
2234,0.0,1.0,1904,312,1166,2009.0,2234,Ex,17423,63.0,748.0,60,5,9,2216,2008,2009,501837
968,0.0,2.0,0,968,480,1935.0,968,TA,8520,60.0,0.0,0,6,5,968,1923,2006,100000
769,756.0,3.0,436,320,440,2000.0,1525,Gd,2117,69.61401673640168,456.0,0,5,6,756,2000,2000,177000
901,901.0,4.0,352,441,216,1920.0,1802,TA,7588,54.0,0.0,0,6,7,793,1920,1950,200100
1340,0.0,3.0,0,0,252,1957.0,1340,TA,9060,60.0,98.0,0,6,5,0,1957,2006,120000
1362,720.0,3.0,0,1362,484,2003.0,2082,Gd,11426,63.0,0.0,238,5,7,1362,2003,2003,200000
936,316.0,3.0,0,504,576,1986.0,1252,TA,7438,92.0,0.0,0,8,5,504,1908,1991,127000
1518,1518.0,4.0,0,1107,840,1993.0,3608,Ex,22950,90.0,0.0,260,9,10,1107,1892,1993,475000
1217,0.0,3.0,611,577,497,1990.0,1217,Gd,9947,69.61401673640168,0.0,27,5,7,1188,1990,1991,173000
808,704.0,3.0,0,660,180,1916.0,1656,TA,10410,60.0,0.0,0,7,5,660,1916,1987,135000
1224,0.0,2.0,1086,0,528,1979.0,1224,TA,7018,64.0,275.0,0,5,5,1086,1979,1979,153337
1593,0.0,0.0,1153,440,682,2001.0,1593,Ex,4923,41.0,0.0,120,5,8,1593,2001,2002,286000
1549,1178.0,3.0,297,556,440,1932.0,2727,Gd,10570,70.0,0.0,74,8,8,853,1932,1994,315000
725,754.0,4.0,626,99,484,1972.0,1479,Gd,7472,69.61401673640168,138.0,32,9,7,725,1972,2004,184000
1431,0.0,3.0,560,871,666,1999.0,1431,Gd,9017,68.0,0.0,35,5,7,1431,1999,1999,192000
970,739.0,2.883272058823529,0,970,380,2004.0,1709,Gd,2522,24.0,50.0,40,5,7,970,2004,2004,130000
864,0.0,3.0,390,474,352,1989.0,864,TA,7180,60.0,0.0,0,7,5,864,1972,1972,127000
855,0.0,3.0,566,289,440,1976.0,1456,TA,2280,24.0,0.0,0,6,6,855,1976,1976,148500
1726,0.0,3.0,1126,600,786,2007.0,1726,Ex,9416,79.0,205.0,138,5,7,1726,2007,2007,311872
1360,1360.0,2.883272058823529,1036,140,795,1918.0,3112,Gd,25419,174.0,0.0,16,4,8,1360,1918,1990,235000
929,929.0,5.0,0,755,0,1979.0,2229,TA,5520,92.0,0.0,198,6,6,755,1912,1950,104000
1713,0.0,3.0,1088,625,856,2004.0,1713,Ex,9591,76.0,262.0,26,5,8,1713,2004,2005,274900
1121,0.0,2.0,0,1121,440,2003.0,1121,TA,8546,80.0,0.0,64,5,4,1121,2003,2004,140000
1279,0.0,3.0,641,276,473,1980.0,1279,TA,10125,75.0,0.0,83,6,6,1196,1977,1977,171500
865,445.0,2.0,617,0,398,1924.0,1310,TA,7000,50.0,0.0,0,6,6,617,1924,1950,112000
848,0.0,1.0,662,186,420,2004.0,848,Gd,4438,69.61401673640168,205.0,0,5,6,848,2004,2004,149000
720,564.0,2.0,312,408,240,1948.0,1284,TA,3500,50.0,0.0,35,7,5,720,1947,1950,110000
1442,0.0,3.0,0,1424,500,1990.0,1442,TA,11851,99.0,0.0,34,5,7,1424,1990,1990,180500
1696,0.0,3.0,0,1140,349,1962.0,1696,TA,13673,40.0,0.0,30,5,5,1140,1962,1962,143900
1100,0.0,3.0,419,375,312,1960.0,1100,TA,12493,69.61401673640168,0.0,0,5,4,1100,1960,1960,141000
1180,0.0,3.0,1065,92,454,1988.0,2062,TA,14364,69.61401673640168,128.0,55,5,7,1157,1988,1989,277000
1092,0.0,3.0,787,305,504,1964.0,1092,TA,8250,75.0,260.0,0,7,6,1092,1964,1964,145000
864,0.0,2.0,468,396,0,1979.0,864,TA,5604,67.0,0.0,0,6,5,864,1925,1950,98000
1212,0.0,3.0,36,1176,460,2009.0,1212,Gd,10420,83.0,0.0,22,5,6,1212,2009,2009,186000
932,920.0,3.0,822,78,644,2009.0,1852,Gd,8640,72.0,0.0,108,5,7,900,2009,2009,252678
990,0.0,3.0,716,274,576,1996.0,990,TA,13568,43.0,0.0,0,5,5,990,1995,1995,156000
689,703.0,3.0,378,311,299,1977.0,1392,TA,10900,69.61401673640168,153.0,36,7,6,689,1977,1977,161750
1236,0.0,2.0,360,710,447,1957.0,1236,Gd,10011,72.0,64.0,0,6,5,1070,1957,1996,134450
1436,0.0,3.0,946,490,484,2004.0,1436,Gd,8450,65.0,266.0,98,5,7,1436,2004,2004,210000
810,518.0,3.0,0,686,210,1940.0,1328,TA,9906,57.0,0.0,172,4,4,686,1925,1950,107000
1137,817.0,3.0,341,457,431,1939.0,1954,Gd,15660,69.61401673640168,312.0,119,9,7,798,1939,2006,311500
1248,0.0,2.0,16,1232,438,2005.0,1248,Gd,3010,43.0,16.0,0,5,7,1248,2005,2006,167240
1498,0.0,2.0,0,1498,675,2006.0,1498,Gd,8990,73.0,0.0,33,5,7,1498,2006,2006,204900
1010,1257.0,4.0,0,1010,390,2002.0,2267,Gd,8068,69.61401673640168,0.0,46,5,6,1010,2002,2002,200000
811,741.0,3.0,550,163,434,1975.0,1552,TA,11475,85.0,0.0,208,6,6,713,1975,1975,179900
864,0.0,2.0,524,160,576,1989.0,864,TA,10500,70.0,0.0,0,6,4,864,1971,1971,97000
2392,0.0,3.0,56,2336,968,2003.0,2392,Ex,13472,103.0,922.0,105,5,10,2392,2003,2003,386250
630,672.0,3.0,0,630,280,1991.0,1302,TA,1680,21.0,142.0,0,5,5,630,1971,1971,112000
1214,1306.0,4.0,565,638,721,1995.0,2520,Gd,9950,82.0,290.0,114,5,7,1203,1995,1995,290000
483,504.0,2.883272058823529,321,162,280,1987.0,987,TA,1869,21.0,127.0,0,6,6,483,1970,1970,106000
912,0.0,3.0,842,70,336,1974.0,912,TA,8521,70.0,0.0,0,5,5,912,1967,1967,125000
1555,0.0,2.0,16,1357,430,2005.0,1555,Gd,3182,43.0,16.0,20,5,7,1373,2005,2006,192500
1194,0.0,3.0,0,1194,312,1959.0,1194,TA,8760,73.0,220.0,0,6,6,1194,1959,1959,148000
1490,1304.0,4.0,689,773,810,1995.0,2794,Ex,15138,174.0,506.0,146,5,8,1462,1995,1996,403000
483,504.0,2.0,0,483,288,1972.0,987,TA,1680,21.0,297.0,0,5,6,483,1972,1972,94500
894,0.0,3.0,182,0,308,1976.0,894,TA,10650,75.0,0.0,0,6,5,894,1976,1976,128200
860,1100.0,4.0,625,235,440,2002.0,1960,Gd,7851,69.61401673640168,0.0,48,5,6,860,2002,2002,216500
483,0.0,2.0,358,125,264,1971.0,987,TA,1680,21.0,604.0,0,3,6,483,1971,1971,89500
